หน้า (PAGE),รหัสสินค้า (PART NUMBER),รหัสเดิม (OLD NO.),ยี่ห้อ/OEM,เลขอ้างอิง (CROSS REFERENCE),รุ่นรถ/หมายเหตุ (APPLICATION)
10,ST10788,JX788,PERKINS,SE111B,
10,ST10788,JX788,DONALDSON,P551604,
10,ST10801,JX801,CUMMINS,3318853,
10,ST10801,JX801,FLEETGUARD,LF3000,
10,ST10801,JX801,DONALDSON,P553000,
10,ST10801A,JX801B,,LF3000总成,
10,ST10801D,,CUMMINS,3919562,
10,ST10801D,,FLEETGUARD,LF3548,
10,ST10801D,,DONALDSON,P553548,
10,ST10802,JX802,CUMMINS,3310169,
10,ST10802,JX802,FLEETGUARD,LF3325,
10,ST10802,JX802,DONALDSON,P551670,
10,ST10804,JX804,CUMMINS,3889310,
10,ST10804,JX804,FLEETGUARD,LF670,
10,ST10804,JX804,DONALDSON,P550670,
10,ST10804B,JX804B,CUMMINS,3889310,
10,ST10804B,JX804B,FLEETGUARD,LF670,
10,ST10804B,JX804B,DONALDSON,P550670,
10,ST10805,JX805,CUMMINS,3889311,
10,ST10805,JX805,FLEETGUARD,LF777,
10,ST10805,JX805,DONALDSON,P550777,
10,ST10805B,JX805B,FLEETGUARD,LF777                       LF3635,
10,ST10805B,JX805B,DONALDSON,P550777,
10,ST10808/ ST10724,JX808,CUMMINS,3932217,
10,ST10808/ ST10724,JX808,FLEETGUARD,LF3349,
10,ST10808/ ST10724,JX808,DONALDSON,P558615,
11,ST10810,JX810,PERKINS,CV2473,
11,ST10810,JX810,FLEETGUARD,LF3356,
11,ST10810,JX810,DONALDSON,P551253,
11,ST10814,JX814,FLEETGUARD,LF607,
11,ST10814,JX814,DONALDSON,P550050,
11,ST10816,JX816,,B495,
11,ST10816,JX816,FLEETGUARD,LF3620,
11,ST10816,JX816,DONALDSON,P552100,
11,ST10817,JX817,CUMMINS,39346445,
11,ST10817,JX817,FLEETGUARD,LF9009,
11,ST10817,JX817,DONALDSON,P553000,
11,ST10818,SP-818,CATERPILLAR,5S0484,
11,ST10818,SP-818,FLEETGUARD,LF740,
11,ST10818,SP-818,KOMATSU,6114-50-5100  6610-53-5120,
11,ST10820,JX820,PERKINS,2654408,
11,ST10820,JX820,FLEETGUARD,LF700,
11,ST10820,JX820,DONALDSON,P554408,
11,ST10827,SP-827,HITACHI,4231195,
11,ST10827,SP-827,FLEETGUARD,LF3628,
11,ST10827,SP-827,DONALDSON,P551345,
11,ST10830,JX830,CUMMINS,3101868,
11,ST10830,JX830,FLEETGUARD,LF9000,
11,ST10830,JX830,DONALDSON,P559000,
11,ST10831,JX831,CUMMINS,3101869,
11,ST10831,JX831,FLEETGUARD,LF9001,
11,ST10831,JX831,DONALDSON,P559000,
11,ST10832,JX832,CUMMINS,15183111,
11,ST10832,JX832,FLEETGUARD,LF3345,
11,ST10832,JX832,DONALDSON,P558616,
11,ST10837,SP-837,,液压油格                  SPECIFICATION:            105*65*24,
11,ST10841,JX841,,2P4005,
11,ST10841,JX841,FLEETGUARD,LF691A,
11,ST10841,JX841,DONALDSON,P554005,
11,ST10844,JX844,,E7HZ6731A,
11,ST10844,JX844,FLEETGUARD,LF3443,
11,ST10844,JX844,DONALDSON,P550731,
11,ST10845,JX845,,B333,
12,ST10846,JX846,SCANIA,173171  P751-21600,
12,ST10846,JX846,FLEETGUARD,LF3311S,
12,ST10846,JX846,DONALDSON,P550095,
12,ST10847,JX847,,1739617,
12,ST10847,JX847,FLEETGUARD,LF3313,
12,ST10847,JX847,DONALDSON,P550008,
12,ST10848,JX848,MAZDA,802-23-802,
12,ST10848,JX848,FLEETGUARD,LF3462,
12,ST10848,JX848,DONALDSON,P550162,
12,ST10849,JX849,LISTER,751-10620,
12,ST10849,JX849,FLEETGUARD,LF3778,
12,ST10849,JX849,DONALDSON,P551784,
12,ST10851,JX851,IOVCE,1907567,
12,ST10851,JX851,FLEETGUARD,LF682,
12,ST10851,JX851,DONALDSON,P553411,
12,ST10854,JX854,FLEETGUARD,LF691A,
12,ST10854,JX854,DONALDSON,P554005,
12,ST10855,JX855,PERKINS,26540244,
12,ST10855,JX855,FLEETGUARD,LF3640  LF3883,
12,ST10855,JX855,DONALDSON,P550367,
12,ST10857,JX857,FLEETGUARD,LF3737,
12,ST10857,JX857,DONALDSON,P550452,
12,ST10860,JX860,FLEETGUARD,LF680,
12,ST10860,JX860,DONALDSON,P553634  P171184,
12,ST10863,JX863,,1174421,
12,ST10863,JX863,FLEETGUARD,LF4054,
12,ST10863,JX863,TEREX/VELTR,P553771,
12,ST10887,SP-887,MANN,E251H H12110/3,
12,ST10887,SP-887,FLEETGUARD,LF3327,
12,ST10887,SP-887,BENZ,11843825,
12,ST10894,SP-894,CATERPILLAR,,
12,ST10905,SP-905,FLEETGUARD,LF16250 CH10929 996-452,
12,ST10910,SP-910,DONALDSON,2654A002,
13,ST10914,JX914,HITACHI,4449332,
13,ST10914,JX914,FLEETGUARD,LF3313,
13,ST10914,JX914,DONALDSON,P550008,
13,ST10915,JX915,FLEETGUARD,LF3703,
13,ST10915,JX915,DONALDSON,P551352,
13,ST10917,JX917,,3937736,
13,ST10917,JX917,FLEETGUARD,LF3970,
13,ST10917,JX917,DONALDSON,P550428,
13,ST10918,JX918,,1305-23-802,
13,ST10918,JX918,FLEETGUARD,LF3666,
13,ST10918,JX918,DONALDSON,P550422,
13,ST10919,JX919,ISUZU,8-94338181-1,
13,ST10919,JX919,FLEETGUARD,LF3854,
13,ST10925,JX925,FLEETGUARD,89675429,
13,ST10944 ST10617,JX944,,129150-35152,
13,ST10944 ST10617,JX944,FLEETGUARD,LF3657 P502438,
13,ST10946,JX946,,6.086.763,
13,ST10957,JX957,,E11HD50,
13,ST10958,SP-958,HENGST,1873014,
13,ST10959,JX959,,E142HD21,
13,ST10960,JX960,,E197HD23,
13,ST10961,JX961,,HU12110X,
13,ST10962,,,W962,
13,ST10962,,FLEETGUARD,LF4054,
13,ST10962,,DONALDSON,P553771,
14,ST10963,JX963,,20998807,
14,ST10964,JX964,,HU71815X,
14,ST11001,JX1001X,BLACKCUB,15274-90226,
14,ST11002,JX1002X,HINO,S1560-72130,
14,ST11004,JX1004X,PERKINS,25011026,
14,ST11004,JX1004X,HINO,S1560-71531,
14,ST11009,JX1009,JCB,02/100284,
14,ST11012,JX1012,,,
14,ST11013,JX1013,KOBELLO,YN57V00004S002,
14,ST11015,JX1015,RENAULTTRUCK,74200709459,
14,ST11018,JX1018,CATERPILLAR,1R0713  8N9586,
14,ST11018,JX1018,FLEETGUARD,LF3342,
14,ST11018,JX1018,DONALDSON,P555570,
14,ST11114,JX1114,,Q1114/4,
14,ST11152B,JX1152B,REPLACES,LS152B,
14,ST11173,JX1173,LASE,1931173,
14,ST11173,JX1173,FLEETGUARD,HFZ8885,
14,ST11173,JX1173,DONALDSON,P502224,
14,ST11195,JX1.X95,DAWOO,96565412,
15,ST11306,JX1.306D,HYUNDAZ,26300-42101D,
15,ST11307,JX1.307H,HYUNDAI,26300-35056,
15,ST11307,JX1.307H,FLEETGUARD,LF3462,
15,ST11307,JX1.307H,DONALDSON,P550162,
15,ST11331,JX1.331,MITSUBISHZ,MD136466,
15,ST11331,JX1.331,FLEETGUARD,LF3644,
15,ST11331,JX1.331,DONALDSON,P502009,
15,ST11332,JX1332,FLEETGUARD,LF3706,
15,ST11332,JX1332,DONALDSON,P551268,
15,ST11332,JX1332,KUBOTA,HH164-32430,
15,ST11332,JX1332,KUBOTA,HH164-42430,
15,ST11340,JX1340,,600-211-1340,
15,ST11340,JX1340,FLEETGUARD,LF9018,
15,ST11340,JX1340,DONALDSON,P559000,
15,ST11343,JX1343,FLEETGUARD,LF680,
15,ST11345,JX1345,,11700375  HH150-32430,
15,ST11345,JX1345,FLEETGUARD,LF4056,
15,ST11345,JX1345,DONALDSON,P559418,
15,ST11348,JX1348,KOMATSU,569-43-83920,
15,ST11348,JX1348,,P803-02986,
15,ST11349,JX1349,,321925140,
15,ST11349,JX1349,JCB,200,
15,ST11353,,HITACHI,4463783,
15,ST11353,,FLEETGUARD,LF3657,
15,ST11353,,YANMAR,129150-35153,
15,ST11354,,YANMAR,119305-35151,
15,ST11354,,FLEETGUARD,LF3692 LF3925,
15,ST11354,,DONALDSON,P502067,
15,ST11356,JX1356,HYUNDAI,26312-83C10,
15,ST11356,JX1356,DONALDSON,P502444,
15,ST11357,JX1357,VANSIT,7502,
16,ST11360,JX1360,FLEETGUARD,LF3925,
16,ST11360,JX1360,DONALDSON,P502067,
16,ST11361,JX1361,AIP,11180058,
16,ST11362,JX1362,HYUNDAI,26300-42040,
16,ST11362,JX1362,FLEETGUARD,LF16227,
16,ST11362,JX1362,DONALDSON,P551343,
16,ST11405,JX1405K,KIA,K620-23-802,
16,ST11406,JX1406,MAZDA,8173-23-802 11900535100,
16,ST11406,JX1406,FLEETGUARD,LF716 1537287212,
16,ST11406,JX1406,DONALDSON,P552849,
16,ST11468,JX1.468,REPLACES,LS468,
16,ST11468,JX1.468,FLEETGUARD,LF3624,
16,ST11468,JX1.468,DONALDSON,P502076,
16,ST11502,JX502K,KIA,K711-23-802,
16,ST11602,JX1602P,REPLACES,LS602P,
16,ST11805,JX1.805,HONDA,15400-PHI-004,
16,ST11805,JX1.805,FLEETGUARD,LF3462,
16,ST11805,JX1.805,DONALDSON,P502051,
16,ST11843,,,,
16,ST11863,SP-863,CATERPILLAR,4P2839 7N7500,
16,ST11863,SP-863,FLEETGUARD,LF3485,
16,ST11863,SP-863,DONALDSON,P557500,
16,ST11867,JX1.867B,PEUGEOT,LS867B,
16,ST11867,JX1.867B,FLEETGUARD,LF3624,
16,ST11867,JX1.867B,DONALDSON,P502076,
16,ST11901,JX1901,MAZOA,B6Y1-14-302,
16,ST11901,JX1901,FLEETGUARD,LF3692,
16,ST11901,JX1901,DONALDSON,P502067,
16,ST12256,JX2256,DEUTZ,01182256,
16,ST12256,JX2256,FLEETGUARD,LF4112,
17,ST13111,JX3111,,2654A111  462-1171  B7378,
17,ST13111,JX3111,CATERPILLAR,2698325,
17,ST13111,JX3111,FLEETGUARD,LF17475,
17,ST13111,JX3111,DONALDSON,P550920,
17,ST13261,JX3261,LASE,87803261,
17,ST13261,JX3261,FLEETGUARD,LF16015,
17,ST13261,JX3261,DONALDSON,P550520,
17,ST13311,JX3311,SCANIA,173171,
17,ST13311,JX3311,FLEETGUARD,LF3376,
17,ST13311,JX3311,DONALDSON,P550941,
17,ST13333,JX3333,FLEETGUARD,LF3333,
17,ST13333,JX3333,DONALDSON,P551670                        2S-1285,
17,ST13338,JX3338,SKODA,44107019-193-6,
17,ST13410,JX3.410K,KIA,K710-23-570,
17,ST13462,JX1.3462S,SAIPA,500302,
17,ST13564,JX1.3564,MITSUBISHI/HYUNDI,26300-4210,
17,ST13564,JX1.3564,FLEETGUARD,LF3564,
17,ST13564,JX1.3564,DONALDSON,P551343,
17,ST14004,,,2P4004,
17,ST14004,,DONALDSON,P554004,
17,ST14115,JX4115,FLEETGUARD,LF785,
17,ST14115,JX4115,DONALDSON,P554770,
17,ST14407,JX4407,PERKINS,2654407  7W2326,CAT910H JCB3CX
17,ST14407,JX4407,FLEETGUARD,LF699,
17,ST14407,JX4407,DONALDSON,P554407,
17,ST14421,JX4421,DEUTE,01174421,
17,ST14421,JX4421,FLEETGUARD,LF4054,
17,ST14421,JX4421,DONALDSON,P553771,
17,ST15021,JX5021,HYUNDAZ,26300-42000,
17,ST15111,JX55111,FLEETGUARD,LF3320,
17,ST15111,JX55111,MERCEDES-BEN,A4011800009,
18,ST15114,JX55114,MERCEDES-BEN,A4031890025,
18,ST15219,JX55219,MERCEDES-BEN,A4411800009,
18,ST15219,JX55219,FLEETGUARD,LF3607,
18,ST15251,JX55251,MERCEDES-BEN,A001845625,
18,ST17034,JX7034,,9-88513264-1,
18,ST17034,JX7034,FLEETGUARD,LF3430,
18,ST17034,JX7034,,HUO7-7  UH083,
18,ST17035,JX7035,HINO,15607-1560,
18,ST17035,JX7035,FLEETGUARD,LF3511,
18,ST17037,JX7037,HINO,15607-1030/1130             6071-2104/00140,
18,ST17050,JX7050,PERKINS,140517050,
18,ST17050,JX7050,FLEETGUARD,LF3874,
18,ST17050,JX7050,DONALDSON,P502016  201-55370,
18,ST17211,JX7211,DONALDSON,65.05510-5017S,
18,ST17211,JX7211,FLEETGUARD,LF670,
18,ST17211,JX7211,DONALDSON,P551670,
18,ST17212,JX7212,FLEETGUARD,LF9325,
18,ST17212,JX7212,,65.05510-5027S,
18,ST17369,JX7369,,7369-20150,
18,ST17369,JX7369,FLEETGUARD,LF3384,
18,ST17369,JX7369,DONALDSON,P550021   15274-99329,
18,ST17751,JX7751      同JX775（三田发货全发JX775）,CATERPILLAR,1R1808,
18,ST17751,JX7751      同JX775（三田发货全发JX775）,FLEETGUARD,LF691A,
18,ST17751,JX7751      同JX775（三田发货全发JX775）,DONALDSON,P551808,
18,ST17784,JX7784,CATERPILLAR,1R0714,
18,ST17784,JX7784,FLEETGUARD,LF3328,
18,ST17784,JX7784,DONALDSON,P556007,
18,ST18006,SP-8006,CATERPILLAR,179-1502,
18,ST18006,SP-8006,FLEETGUARD,LF3660,
19,ST18024,JX8024,CUMMINS,3919823,
19,ST18024,JX8024,FLEETGUARD,LF9024,
19,ST18024,JX8024,DONALDSON,P550775,
19,ST18659,SP-8659,CATERPILLAR,1R-0659,
19,ST18659,SP-8659,FLEETGUARD,LF3610,
19,ST18659,SP-8659,DONALDSON,P550484,
19,ST18721,SP-8721,CATERPILLAR,1R-0721  5S0485,
19,ST18721,SP-8721,FLEETGUARD,LF519,
19,ST18721,SP-8721,DONALDSON,P550485,
19,ST18726,SP-8726,CATERPILLAR,1R-0726,
19,ST18726,SP-8726,FLEETGUARD,LF3485,
